date,open,high,low,close,volume
2024-07-18T18:00:00Z,63538.4005,63653.66,63353.81,63530.833,0.012746148
2024-07-18T19:00:00Z,63559.65,63738.6,63274.07,63511.5785,0.102917471
2024-07-18T20:00:00Z,63550.1,63850.75,63435.55,63850.75,0.114037776
2024-07-18T21:00:00Z,63806.716,63916.6,63745.0535,63846.1,0.008594479
2024-07-18T22:00:00Z,63870.6,64118.47,63713.065,64018.185,0.000168526
2024-07-18T23:00:00Z,64008.09,64094.4885,63948.31,63984.333,5.5757e-05
2024-07-19T00:00:00Z,63955.1715,64027.1285,63559.8515,63600.333,0.009173275
2024-07-19T01:00:00Z,63566.928,63835.44,63315.204,63805.945,6.2993e-05
2024-07-19T02:00:00Z,63815.8615,63931.4,63651.67,63826.6275,0.008410091
2024-07-19T03:00:00Z,63826.3585,64385.36,63826.3585,64309.83,0.014579768
2024-07-19T04:00:00Z,64333.186,64368.022,64142.3,64165.4,3.1761e-05
2024-07-19T05:00:00Z,64133.85,64246.032,64076.75,64181.082,4.0912e-05
2024-07-19T06:00:00Z,64170.1775,64466.71,64130.4,64202.9775,3.7426e-05
2024-07-19T07:00:00Z,64168.05,64168.05,63620.5015,63723.638,0.008339775
2024-07-19T08:00:00Z,63691.6805,63891.034,63416.065,63797.815,0.000286506
2024-07-19T09:00:00Z,63808.823333333,64108.585,63654.35,63717.5,0.015933069
2024-07-19T10:00:00Z,63670.199,64129.979,63670.199,64011.2215,2.5505e-05
2024-07-19T11:00:00Z,63996.098,64161.2845,63923.0135,64093.675,0.006857297
2024-07-19T12:00:00Z,64127.13,64435.441,64065.33,64423.184,2.6866e-05
2024-07-19T13:00:00Z,64415.665,65338.85,64086.1175,65169.7195,0.038513284
2024-07-19T14:00:00Z,65203.1025,65889.05,65036.0885,65755.997,0.105773676
2024-07-19T15:00:00Z,65772.052,65869.575,65304.315,65869.575,0.160388982
2024-07-19T16:00:00Z,65893.888,66487.2664987405,65893.888,66432.825,0.118675527
2024-07-19T17:00:00Z,66454.9055,66856.225,66275.349,66783.65,1.319211891
2024-07-19T18:00:00Z,66814.2755,66834.59,66463.1115,66834.59,0.474083303
2024-07-19T19:00:00Z,66860.136,67453.25,66860.136,67211.135,0.270687438
2024-07-19T20:00:00Z,67242.52,67283.51,66936.92,66979.0265,0.078895752
2024-07-19T21:00:00Z,66965.484,67389.365,66942.047,66942.047,0.037209654
2024-07-19T22:00:00Z,66987.135,67028.475,66715.444,66752.2505,0.049411328
2024-07-19T23:00:00Z,66803.957,66946.911,66678.022,66720.39,0.22571931
2024-07-20T00:00:00Z,66756.225,66852.545,66341.885,66500.4655,0.193246925
2024-07-20T01:00:00Z,66458.679,66742.015,66290.986,66395.4095,7.6392e-05
2024-07-20T02:00:00Z,66433.8905,66676.35,66370.47,66610.84,0.003076837
2024-07-20T03:00:00Z,66629.4465,66801.97,66608.0,66667.675,0.142851087
2024-07-20T04:00:00Z,66658.0085,66732.618,66521.0,66703.71,0.071213437
2024-07-20T05:00:00Z,66687.6885,66687.6885,66477.6245,66596.0845,0.031705458
2024-07-20T06:00:00Z,66573.55,66715.224,66550.481,66683.478,0.00107651
2024-07-20T07:00:00Z,66674.1565,66791.798,66571.296,66620.2315,0.012298111
2024-07-20T08:00:00Z,66620.4895,66708.51,66526.595,66552.535,0.002184442
2024-07-20T09:00:00Z,66526.465,66778.82,66526.465,66653.553,0.002326788
2024-07-20T10:00:00Z,66615.6785,66710.185,66519.043,66561.388,0.031271928
2024-07-20T11:00:00Z,66568.3,66614.63,66517.805,66517.9045,0.008875708
2024-07-20T12:00:00Z,66536.133,66606.65,66498.4825,66524.024,0.002435031
2024-07-20T13:00:00Z,66522.245,66669.0585,66337.495,66557.58,0.001484643
2024-07-20T14:00:00Z,66613.05,66708.8215,66584.1745,66616.259,0.009857258
2024-07-20T15:00:00Z,66657.475,66850.528,66638.0275,66833.645,0.002033797
2024-07-20T16:00:00Z,66867.54,67027.326,66730.68,66864.95,0.038963898
2024-07-20T17:00:00Z,66834.3,67598.8144483625,66733.5,67430.04,0.127790661
2024-07-20T18:00:00Z,67478.835,67582.8264483625,67281.685,67526.29,0.002117857
2024-07-20T19:00:00Z,67554.0,67583.9,67199.722,67268.68,0.364119016
2024-07-20T20:00:00Z,67268.85,67483.15,67267.2,67393.55,0.008105655
2024-07-20T21:00:00Z,67393.8865,67393.8865,66889.082,67169.68,0.004662622
2024-07-20T22:00:00Z,67193.585,67337.505,66933.45,67165.258,0.003806443
2024-07-20T23:00:00Z,67139.05,67232.7405,67123.039,67190.35,1.5354e-05
2024-07-21T00:00:00Z,67228.95,67361.85,67004.12,67085.7975,0.004974711
2024-07-21T01:00:00Z,67105.4,67432.3755,67089.35,67310.2625,0.015383991
2024-07-21T02:00:00Z,67336.225,67420.694,67306.33,67315.88,0.000878779
2024-07-21T03:00:00Z,67304.194,67403.67,67179.599,67203.5,1.5758e-05
2024-07-21T04:00:00Z,67212.83,67265.745,67041.8745,67070.636,1.5794e-05
2024-07-21T05:00:00Z,67054.097,67140.277,66933.6695,67081.87,0.069064231
2024-07-21T06:00:00Z,67087.5145,67129.65,66688.07,66759.955,0.000833705
2024-07-21T07:00:00Z,66720.2715,66877.39,66658.515,66730.205,0.001493596
2024-07-21T08:00:00Z,66713.71,66906.1,66713.71,66830.041,0.023397824
2024-07-21T09:00:00Z,66805.05,67059.037,66805.05,67003.25,0.148319781
2024-07-21T10:00:00Z,67001.085,67103.8145,66851.605,66851.605,0.018829199
2024-07-21T11:00:00Z,66848.3915,66921.3625,66797.2665,66906.9,0.002962238
2024-07-21T12:00:00Z,66895.402,67018.8,66866.005,66967.8935,3.6278e-05
2024-07-21T13:00:00Z,66967.5415,67014.735,66691.322,66783.272,0.010220855
2024-07-21T14:00:00Z,66831.4735,67416.7065,66747.656,67349.4,0.009382983
2024-07-21T15:00:00Z,67352.681,67532.466,67061.5975,67185.94,0.032301555
2024-07-21T16:00:00Z,67223.34,67592.253,67003.931,67588.2485,0.01342058
2024-07-21T17:00:00Z,67569.597,67720.2950755665,66573.234,66674.7,0.017471473
2024-07-21T18:00:00Z,66638.3105,67371.748,65852.2245,66892.6145,0.031703333
2024-07-21T19:00:00Z,66874.469,67731.7700755665,66815.213,67440.63,0.021421521
2024-07-21T20:00:00Z,67458.415,68240.15,67318.0995,67712.815,0.069736767
2024-07-21T21:00:00Z,67743.88,68299.411,67608.147,68206.3245,0.050193819
2024-07-21T22:00:00Z,68257.647,68358.57,67999.755,68047.0,0.080103443
2024-07-21T23:00:00Z,68085.0205,68202.005,67906.4035,68157.5805,0.001535381
2024-07-22T00:00:00Z,68178.56,68476.53,68073.7045,68215.0435,0.001157819
2024-07-22T01:00:00Z,68182.75,68182.75,67786.05,67874.65,0.041029309
2024-07-22T02:00:00Z,67908.7,68220.35,67765.221,68104.437,0.007815295
2024-07-22T03:00:00Z,68061.515,68110.6775,67873.7315,67915.145,0.12550379
2024-07-22T04:00:00Z,67881.4,68034.4,67761.723,67944.075,0.000183809
2024-07-22T05:00:00Z,67949.6935,67969.25,67571.25,67646.923,0.070102913
2024-07-22T06:00:00Z,67623.045,67774.491,67163.25,67439.929,0.002021711
2024-07-22T07:00:00Z,67395.355,67399.3965,67217.7085,67251.9025,0.002914659
2024-07-22T08:00:00Z,67290.6705,67401.66,67047.831,67098.835,0.050745941
2024-07-22T09:00:00Z,67062.495,67418.294,67005.6695,67418.294,0.009195429
2024-07-22T10:00:00Z,67450.81,67532.105,67336.0,67424.405,0.023528513
2024-07-22T11:00:00Z,67465.485,67619.8295,67321.8,67535.35,0.003206045
2024-07-22T12:00:00Z,67554.548,67705.95,67378.8,67688.1695,0.023478963
2024-07-22T13:00:00Z,67707.4,67961.765,67020.2385,67126.4235,0.122604962
2024-07-22T14:00:00Z,67101.83,67333.515,66626.83,66692.629,0.089987957
2024-07-22T15:00:00Z,66658.1365,67212.75,66603.3945,67047.0015,0.027901414
2024-07-22T16:00:00Z,67100.795,67309.06,66857.3885,67064.885,0.069690225
2024-07-22T17:00:00Z,67104.1375,67498.635,67037.263,67492.6,0.136770479
2024-07-22T18:00:00Z,67460.0,67722.4,67355.4715,67489.861,0.230287828
2024-07-22T19:00:00Z,67440.7625,68308.35,67418.655,68267.8625,0.15530824
2024-07-22T20:00:00Z,68244.27,68273.029,67885.295,68139.721,0.005289306
2024-07-22T21:00:00Z,68180.22,68187.974,67706.85,67852.3755,0.187704152
2024-07-22T22:00:00Z,67843.7215,67843.7215,67542.41,67692.67,0.000219639
2024-07-22T23:00:00Z,67661.61,67689.165,67296.4665,67576.695,1.8163e-05
2024-07-23T00:00:00Z,67558.205,67772.5,67483.6225,67540.8875,0.168572809
2024-07-23T01:00:00Z,67497.522,67506.2725,67255.4935,67435.5765,0.000416522
2024-07-23T02:00:00Z,67469.285,67699.452,67260.88,67672.9465,1.6217e-05
2024-07-23T03:00:00Z,67694.413,67726.5195,67478.69,67498.188,1.5991e-05
2024-07-23T04:00:00Z,67448.5915,67556.496,67011.766,67011.766,0.004652932
2024-07-23T05:00:00Z,66949.375,66949.375,66339.1035,66429.75,0.469795127
2024-07-23T06:00:00Z,66457.5,66792.4166666665,66405.3095,66534.6285,0.240956737
2024-07-23T07:00:00Z,66503.505,66670.61,66292.347,66572.065,3.9428e-05
2024-07-23T08:00:00Z,66535.492,66998.8645,66535.492,66894.9,0.000939974
2024-07-23T09:00:00Z,66939.17,67163.0205,66807.3165,66972.765,0.023189879
2024-07-23T10:00:00Z,66950.283,67023.486,66823.27,66882.992,0.01312134
2024-07-23T11:00:00Z,66851.6185,66851.6185,66464.5715,66709.0,0.00706178
2024-07-23T12:00:00Z,66669.7,66767.2185,66386.081,66500.835,0.011132748
2024-07-23T13:00:00Z,66542.852,66758.434,66006.1225,66118.95,0.18734429
2024-07-23T14:00:00Z,66155.31,67344.4685,66011.296,67231.02,0.020000279
2024-07-23T15:00:00Z,67199.996,67231.02,66386.225,66601.295,0.011719344
2024-07-23T16:00:00Z,66635.2925,66805.3565,65867.065,65871.78,0.091395076
2024-07-23T17:00:00Z,65831.0,66120.92,65777.35,65920.185,0.072078586
2024-07-23T18:00:00Z,65965.972,66105.11,65802.526,65880.3255,0.011300518
2024-07-23T19:00:00Z,65900.523,66095.1,65502.98,65548.119,0.115379347
2024-07-23T20:00:00Z,65593.416,65999.71,65524.6,65859.4945,0.009041949
2024-07-23T21:00:00Z,65818.48,66045.304,65818.48,65908.0255,0.000364506
2024-07-23T22:00:00Z,65881.243,66028.93,65804.086,65940.454,0.200058916
